Qual è il tuo ruolo lavorativo?,Quanti anni di esperienza hai nel settore?,Quale definizione si applica meglio all'azienda per cui lavori?,Quanti dipendenti ha la tua azienda?,Dove si trova la sede della tua azienda?,La tua azienda lavora a progetti open-source?,La tua azienda è sponsor di progetti opensource?,Quale tipologia di progetti open-source utilizzate in azienda?,Porti avanti progetti open-source in modo individuale?,Quali sono secondo te le maggiori sfide/difficoltà quando ci si imbatte in progetti open?,In che modo contribuisci a progetti open-source?,Fai parte di una o più tech community?,Pensi che si possa monetizzare un progetti opensource o crearci un business?,Quali sono i tre progetti/frameworks opensource che utilizzi nel tuo quotidiano?,Quali sono i linguaggi di programmazione che utilizzi di più?
Mobile App Developer,da 4 a 6,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['uxui', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['kotlin', 'android']",['kotlin']
CEO,11+,Startup,0 - 10,USA,Si,1,"['Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",No,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore', 'problemi di performance']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['kubernetes', 'svelte', 'openwhisk']","['python', 'go', 'js']"
Software Architect,11+,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework']",No,['non ho mai riscontrato problemi'],['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['spring', 'nginx', 'angular']","['java', 'typescript', 'go']"
Back-end Developer,da 4 a 6,Startup,10 - 50,Europa,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS']",Si,"['mancanza di documentazione', ""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore']",['partecipo alle community dei relativi progetti'],Si,"Si, ma non saprei come","['laravel', 'vue', 'svelte']","['php', 'typescript', 'javascript']"
Front-end Developer,da 7 a 10,Piccola - medio impresa,10 - 50,Europa,Si,5+,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma solo con donazioni","['vs code', 'react', 'typescript']","['typescript', 'javascript', 'java']"
Back-end Developer,da 0 a 3,Startup,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['node', 'infisical', 'awssdk']",['typescript']
Agile Coach / Facilitatore / Scrum Master,11+,Piccola - medio impresa,0 - 10,Italia,"No, ma mi piacerebbe ne avesse",2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS']",No,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', ""migrazione da un progetto open all'altro""]",['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['git', 'linux', 'notepad++']",['python']
System Administrator,da 0 a 3,Startup,0 - 10,Italia,Si,2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione', 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['nextcloud', 'keycloak', 'jitsi']","['django', 'bash']"
Back-end Developer,11+,Startup,50 - 500,Europa,"No, ma ci stiamo lavorando",2 - 5,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking']",Si,"['mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['go', 'rust', 'linux']","['go', 'rust', 'c++']"
Back-end Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",1,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework']",Si,"['mancanza di documentazione', 'installazione e configurazione']",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, ma non saprei come","['vscode', 'clang', 'cmake']","['c++', 'python']"
Back-end Developer,11+,Big Company,Piu di 500,Europa,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando",['non ho mai riscontrato problemi'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",No,"Si, puo essere il core business di un'azienda","['linux', 'firefox', 'wezterm']",['rust']
Back-end Developer,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['dotnet', 'vscode', 'k8s']","['c#', 'javascript']"
Data Analyst / Data Scientist / Data Engineer,da 4 a 6,Startup,0 - 10,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'installazione e configurazione', 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['vscode', 'pytorch', 'polars']","['python', 'sql', 'javascript']"
Security engineer / Cybersecurity,da 7 a 10,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi']",No,"[""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['spring', 'openvas', 'dependencytrack']",['java']
Security engineer / Cybersecurity,da 4 a 6,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', ""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['bitwarden', 'firefox', 'ubuntu']","['powershell', 'java', 'python']"
DevOps Engineer / Site Reliability Engineer,11+,Lavoro come freelance,0 - 10,Italia,Si,1,"['Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,['non ho mai riscontrato problemi'],"['creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['vtiger crm', 'php', 'gnulinux']","['php', 'javascript', 'python']"
Full-stack Developer,11+,Piccola - medio impresa,0 - 10,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['endoflife di una versione', ""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore']",['partecipo alle community dei relativi progetti'],Si,"Si, ma non saprei come","['flutter', 'vscode']","['dart', 'python']"
Full-stack Developer,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS']",No,"['mancanza di documentazione', ""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",No,"Si, puo essere il core business di un'azienda","['next.js', 'wordpress', 'nginx']","['typescript', 'javascript', 'php']"
Data Analyst / Data Scientist / Data Engineer,da 0 a 3,Startup,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando","['installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come","['tensorflow', 'redis', 'ubuntu']","['python', 'javascript']"
Back-end Developer,11+,Startup,10 - 50,Europa,No,Non sostiene nessun progetto,"['Databases e Data tools', 'Linguaggi di programmazione e Framework']",No,"['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],No,"Si, puo essere il core business di un'azienda","['.net', 'postgres', 'redis']",['.net']
Back-end Developer,da 0 a 3,Big Company,50 - 500,Italia,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['installazione e configurazione', 'endoflife di una versione']",['creo issues e segnalo bug'],Si,"Si, puo essere il core business di un'azienda","['spring', 'fpts']","['java', 'kotlin', 'typescript']"
Data Analyst / Data Scientist / Data Engineer,da 7 a 10,Piccola - medio impresa,50 - 500,Italia,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS']",Si,"['mancanza di documentazione', ""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, puo essere il core business di un'azienda","['vscode', 'dbt', 'airflow']","['python', 'typescript', 'sql']"
DevOps Engineer / Site Reliability Engineer,da 7 a 10,Big Company,Piu di 500,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Security Tools', 'Containers e Orchestrazione']",Si,"['installazione e configurazione', ""migrazione da un progetto open all'altro""]","['creo issues e segnalo bug', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['git', 'vscode', 'jenkins']","['typescript', 'groovy', 'python']"
DevOps Engineer / Site Reliability Engineer,da 7 a 10,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework']",No,"['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come",['nessuno'],"['bash', 'python']"
Front-end Developer,da 0 a 3,Big Company,Piu di 500,Italia,"No, ma ci stiamo lavorando",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['react', 'vscode', 'astro']","['typescript', 'javascript', 'go']"
Back-end Developer,da 7 a 10,Big Company,Piu di 500,USA,Si,5+,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['cloudnativepg', 'postgresql', 'kubernetes']","['golang', 'python', 'c++']"
Data Analyst / Data Scientist / Data Engineer,da 7 a 10,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando",['mancanza di documentazione'],['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['spark', 'delta', 'terraform']","['python', 'scala', 'java']"
Full-stack Developer,da 4 a 6,Piccola - medio impresa,10 - 50,Italia,"Si, anche progetti di rilevanza per il business",1,[],Si,['mancanza sviluppisupporto da parte della communityautore'],['creo issue e apro pullrequest per risolvere le issues'],Si,"Si, puo essere il core business di un'azienda","['rocket chat', 'vue good table']","['php', 'vue3', 'node js']"
Full-stack Developer,da 7 a 10,Lavoro come freelance,0 - 10,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS']","No, ma ci sto pensando","['mancanza di documentazione', 'uxui', 'problemi di performance']",['creo issues e segnalo bug'],"No, ma mi piacerebbe","Si, ma solo con donazioni","['wordpress', 'react', 'vscode']","['javascript', 'php', 'python']"
HR,da 7 a 10,Big Company,0 - 10,Italia,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['Databases e Data tools', 'Cloud Native e Tools networking']","No, ma ci sto pensando","['uxui', 'mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']",['partecipo alle community dei relativi progetti'],"No, ma mi piacerebbe","Si, ma non saprei come","['stack.ai', 'hugging face', 'colab']","['nocode', 'python']"
Front-end Developer,da 0 a 3,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando","['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe",No,"['flutter', 'ionic', 'cordova']","['javascript', 'typescript']"
Front-end Developer,da 0 a 3,Big Company,Piu di 500,USA,Non so,Non sostiene nessun progetto,['Non so'],No,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', ""migrazione da un progetto open all'altro""]",['partecipo alle community dei relativi progetti'],"Si, sono un Founder o un Community Lead","Si, ma solo con donazioni","['springboot', 'tensorflow']","['typescript', 'javascript']"
Front-end Developer,da 4 a 6,Big Company,Piu di 500,Italia,Non so,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Non so']","No, ma ci sto pensando","['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['partecipo alle community dei relativi progetti'],Si,"Si, ma non saprei come","['angular', 'spring', 'elasticsearch']",['typescript']
Full-stack Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando","['installazione e configurazione', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['springboot', 'angular', 'sonarqube']","['java', 'c#', 'javascript']"
CTO,11+,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",No,"['mancanza di documentazione', 'endoflife di una versione', ""migrazione da un progetto open all'altro""]",['creo issues e segnalo bug'],Si,"Si, puo essere il core business di un'azienda",['laravel'],"['php', 'typescript']"
Full-stack Developer,da 4 a 6,Startup,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'CMS']",No,"['mancanza di documentazione', 'endoflife di una versione']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['react', 'sanity']","['javascript', 'typescript']"
Mobile App Developer,da 4 a 6,Startup,10 - 50,Italia,Si,Non sostiene nessun progetto,['Non so'],Si,['mancanza sviluppisupporto da parte della communityautore'],['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],"No, ma mi piacerebbe","Si, ma non saprei come","['flutter', 'mek_stripe_terminal', 'mek_data_class']","['dart', 'typescript']"
